,Number,Name,Review,Stars,Sug/Com
0,0,prashant tripathi,"
बहुत अच्छी और प्रेरणा दायक पुस्तक।


बहुत अच्छी और अपने जीवन को कैसे जिए और अपने आप को कैसे जीवन में कैसे नयी ऊर्जा का संचार करे
",5.0 out of 5 stars,1
1,5,Hitendra Kumar Gupta,"
जीवन के अद्भुत रहस्य


जीवन के अद्भुत रहस्य गौर गोपाल दास जी की एक अद्भुत किताब है। मिलते ही एक ही बार में पूरा पढ़ गया। कहानी के रूप में उन्होंने जीवन का सार बहुत ही सरल ढंग से लोगों के सामने रखा है। उनका वीडियो तो पहले कई बार सुन चुका हूं। बहुत बढ़िया ढंग से अपनी बात लोगों के सामने रखते हैं। आजकल के युवा तो इनके फैन हैं। इस किताब को सभी लोगों को जरूर पढ़ना चाहिए।
",5.0 out of 5 stars,1
2,32,Gurcharanjit singh,"
one of the best book


इस किताब को पड़ने के बाद किसी का भी जीवन बदल सकता है। अगर हर कोई इस किताब में दी गई शिक्षाओं को अपना ले तो सभी का जीवन जेते जी ही स्वर्ग बन जायेगा।
",5.0 out of 5 stars,1
3,51,Just Journalist from Jodhpur,"
अद्वितीय


अद्भुत
",5.0 out of 5 stars,1
4,71,Leena sutar,"
पढिये और संतुलन पाये वैसे real मे इसके लिए सिर्फ नजरिये और थोडी प्रॅक्टिस की जरुरत hai


पढिये और संतुलन बनाये राखिये
",3.0 out of 5 stars,1
5,128,DEEPAK KUMAR,"
very nice


बहुत ही जबरदस्त
",5.0 out of 5 stars,1
6,132,Yk,"
Good


इतनी बुक्स में एक भी बुक टैग नही भेजा गया
",3.0 out of 5 stars,1
7,135,Rajan,"
जीवन का रहस्य


जीवन के सार को समझने के लिए अच्छी किताब हैं।
",5.0 out of 5 stars,1
8,148,Ajay singh Tanwar,"
Thik thak book h.


Thik thak
",3.0 out of 5 stars,1
9,151,shivank singh thakur,"
बेहतरीन किताब


बेहतरीन किताब
",5.0 out of 5 stars,1
10,164,Sanjay,"
Jeevan  ko Disha dena Bala Book


Nice book
",5.0 out of 5 stars,1
