,Number,Name,Review,Stars,Sug/Com
0,118,Prince Gurjar,"
BILKUL HI BEKAR HAI ISE MAT LENA


jab se maine iss watch ko liya hai maine isme bhut si chije notice ki hai jai iski battery 3 din chalti hai bss 100% charge bhi aur notification time se nahi aati hai whatsapp business ki to aati hi nhi hai aur sleep bhi galat monitoring karti hai overall asa koi bhi reason nhi hai jisse mai iss watch ko thoda sa bhi aacha keh skuboat company pagal bana rhi hai bss aur kuch nhi hai apna logo laga diya hai manufacturing whi apne aka china se kra rhe hai to ye sab problem to aani hai hai bilkul hi ghatiya wacth hai so please ise na kharide isse aacha to meri pehli wali watch thi NOISE ki battery backup bhi acha tha time se notification aati thi whatsapp ki bhi aati thi
",1.0 out of 5 stars,0
1,418,NAINSI RAJPUT,"
Accurate


It is mine blowing product guys . I am using this  watch last 6 months i am happy to purchase this watch all sensors  are working and we also upload your pics in watch wallpaper it is easy  to use and long-lasting  material . Only 1 hour take charging  se app logg 30 din tak use kar legai araam se maine bhi pahele  baar online watch magai thi pahele Darr lagg raha tha fir Aaj 6 months  baad phone dekhe ke liye aya tha fir mujhe ye watch dikhi to socha ap logo ko bta de issewatch k baare me .
",5.0 out of 5 stars,1
2,436,Ram Bhatia,"
Bakwas


Faulty received 3 days me 6 se 7 baarr aapne aap hi switch off ho jati or replace ment me jo mili usme hath me dalne ke baad bhi ye show krti hai ki hath me nHi hai ya tighty dalo. Bakwas na hi buy kro itni range me koi or dekh lo
",2.0 out of 5 stars,0
3,438,ANURAG VERMA,"
भरोसेमंद प्रोडक्ट।।।






                    The media could not be loaded.
                



 यदि सेल पर लेंगे तब और भी सही रहेगा।। यदि काल को रिसीव करने का फंक्शन और जुड़ा होता तो औऱ चार चाँद लग जाते।।
",5.0 out of 5 stars,1
4,548,Lj,"
boAt Xtend






                    The media could not be loaded.
                



 boAt Xtend लेके कुछ मतलब नहीं हे क्योंकि इसकी बॉडी मटीरीयल भी एक दम चींप क्विल्टी की लगती हे ओर तो ओर स्टेप्स काउंट भी ठीक से नहीं कर सकती अभी कुछ दिनो पहले में बस में ट्रैवल कर रहा था उस समय भी स्टेप्स काउंट कर रही थी उस समय लगभग12000 स्टेप्स हो गये थे इसलिय मेरे पास अब ओर कुछ बोलेने के लिए बचा ही नहीं….
",1.0 out of 5 stars,0
5,622,Jay Prakash,"
Auto Automatically disconnects the connection for mobile






                    The media could not be loaded.
                



 Battery backup acha hai 5 days tk chal jati hai..heart rate, sleep time ye sb shi btata hai ..isme ek problem hai apne aap mobile se disconnect ho jata hai . mobile samne ho fir bhi..
",4.0 out of 5 stars,1
6,630,Shivani,"
Nice smart watch






                    The media could not be loaded.
                



 Is watch ko me last 4 days se use kar rahi hu, accha hai watch,5 din battery jati hai.Phn me se app band kiya to Alexa bhi gayab hoti hai.Baki iska performance accha hai.Dikhane me bhi bahut cute hai, belt bhi bahot accha hai.Alexa se connection gaya hai, ye pata nahi chalata jab tak ap usko use nahi karte ho, to iska notification ana chahiye.
",4.0 out of 5 stars,1
7,658,hemali r.,"
I am not setisfied


My watch and charger not match and i am returning that item and i got msg till 14 July they pickup and wo log ab bol rahe hai humko screenshot bhejo ..kahase bheju ..pata hota to lebhi leti
",1.0 out of 5 stars,0
8,775,Prabhat singh,"
Watch is not working


Ye watch mai 3 din me phle li aur meri watch watch discharge hogyi uske baad ye charge nhi ho rhiPower on nhi ho rhaIsme charging ka problem aagyi achanakJisko bhi ise lena hai thoda aur paise lga ke kuch better product purchase kar lena
",1.0 out of 5 stars,0
9,955,Satish Kumar Srivastava,"
रात में पहनकर सोने पर नींद का सत्यानाश होना निश्चित है ।


REM Sleep की मॉनिटरिंग करने हेतु उपयोग किया पर अब ये मेरे लिए बेकार है क्योंकि इसे पहनकर सो पाना मुमकिन नहीं है और इसने मेरी कई रातों की नींद का सत्यानाश कर दिया । जब से इसे हटाया है तब से मैं फिर से सो पा रहा हूं । दिन में प्रयोग करता हूं ।
",2.0 out of 5 stars,0
