,Number,Name,Review,Stars,Sug/Com
0,7,Sajid shaikh,"
kripya Karen yah mobile Ko koi Na le


Khali in display fingerprint ko dikhakar aur charger Ko dikha kar bhech rahe hain na camera achcha hai na kuchh achcha hai processor ekadam ghatiya hai
",1.0 out of 5 stars,0
1,9,pawan gautam,"
Ye bhut hi bekar fon hiye heng karta hi koi bhi na le






                    The media could not be loaded.
                



 Ye bhut bekar hi
",1.0 out of 5 stars,0
2,24,Manisha Pundora,"
1 month me hi phone hang ho gya hain






                    The media could not be loaded.
                



 IQOO Z6Ye mobile phone mene 02-05-2022 ko order Mila tha..aj 25-06-2022 ko phone hang ho gya hain or kuch v kaam nhi kar rha hain...
",1.0 out of 5 stars,0
3,32,Harender panchal,"
charging speed is extremely slow


charging 44 watt charger se 45min ke around ho jana  chahiye per ye to 3, 4 guna jyada time le rha hai
",1.0 out of 5 stars,0
4,64,UPENDAR M.,"
Amazon Customer


इतने पैसे में यह फोन अच्छा है।एप इंटरफ़ेस थोड़ा सा लेग करता है। यह फोन 4G है 5G नहीं है। इतने प्राइस में यह सही है। इसमें सारा Vivo का फंक्शन है। फोन ठीक-ठाक है नॉर्मल यूज़ के लिए buy कर सकते है।
",5.0 out of 5 stars,1
5,89,Irfan,"
Low prosesing






                    The media could not be loaded.
                



 Problem hai bhai is phone k undar hang hota h bahut ziyadaKitni bar namber nhi milata
",2.0 out of 5 stars,0
6,91,Arun Vaid,"
Bakwas phone hai bhai camera quality bekar hai bilkul


Camera quality bakwas hai bilkul video banate hai to blur blur or pixels phat jate hai bilkul mt kharidna customer service bhi bekar hai
",1.0 out of 5 stars,0
7,100,Ajay Bhardwaj,"
Time paisha basool nahi hai kafi slow chalta hai jaise 2 gb bala phone chalta ho


I like look and battery charging full in 1 hour & 10 mint finger print not good side finger much better battery backup continues uses mobile 10 hours and sabse jo bura hai screen refresh 60 ka bhi nahi lagta me to fas gaya lekar isse achha mera infinx hot 8 fast chalta tha
",4.0 out of 5 stars,1
8,104,RAHUL KUMAR,"
Just go for it bhai


Maine pehle order kr diya tha. Uske baad review pde To m drr gya ki paise b lgg gye or pta ni kaisa aayega.ab yar iPhone 13 Jo 180000 ka ayega uski ye 14000 wala kaise brabri krega.. baaki jitni keemat h utna h isme.M to six star du pr available ni h
",5.0 out of 5 stars,1
9,142,Dinesh Kumar Yadav,"
Nice to boy


Very good mobile h भाई ले सकते हैं pasha वेस्ट ninh जायगा
",4.0 out of 5 stars,1
10,155,Sayan Samanta,"
Best mobile in this budget statment.


This ph is good camera and display and design. Medium gaming ke liye ye ph thik he. Apka budget 15k se kam he to ye buy kar sakte ho..
",5.0 out of 5 stars,1
11,188,Pradeep meena,"
Bettery


Rate ke hisab se good h
",3.0 out of 5 stars,1
12,205,Arpit p.,"
Iqoo z series best


Iqoo z644w best mobile phone under 15000 le lo best hai camera superb hai ye garam bhi nahi hota
",5.0 out of 5 stars,1
13,290,Srajit Dixit,"
Nice product


Is range me itne features hai ..fast charing n 5k mah battery ..kah skte hai ki ek perfect fone hai is range me..go for it
",5.0 out of 5 stars,1
14,330,MANISH BAIRAGI,"
The_Bairagi_Vlogs.






                    The media could not be loaded.
                



 बहुत ही बढ़िया फोन है कितने पैसों में यह अच्छा है आई लव आई क्यू z6.
",5.0 out of 5 stars,1
15,351,Nikesh kumar,"
पता नही लोग कैसे नेगेटिव रिव्यू दे रहे है, बहुत अच्छा मोबाइल है।


इस कीमत में बेहतरीन मोबाइल है।
",5.0 out of 5 stars,1
16,355,Radhe Shyam Patel,"
Price ke hisab de ye Mobile thik nhi hai


Price ke hisab de ye Mobile thik nhi hai isme bahut se feacher bhi nhi hai aur kuchh apps bhi nhi chal rha hai
",1.0 out of 5 stars,0
17,365,Anil Kumar,"
Mujhe ye phone return karna hai


Mujhe ye phone return karna hai
",1.0 out of 5 stars,0
18,392,Dharmendar Patidar,"
कैमरा अच्छा नहीं है






                    The media could not be loaded.
                



 Like hai per camera quality theek Nahin
",3.0 out of 5 stars,1
19,396,Krushna Arvind phase,"
Thik hai


Camera is not good
",5.0 out of 5 stars,1
20,434,Gaurav,"
nice iqoo


bahut gajb ka phone hai bhai
",5.0 out of 5 stars,1
21,492,Pramod,"
Iski speed acchi hai aur uska look bhi bahut achcha hai


Iska camera bhi bahut achcha hai iska battery pickup bhi bahut acchi
",5.0 out of 5 stars,1
22,502,Mazhar ali,"
Size ulter






                    The media could not be loaded.
                



 साइज ऑल्टर हो रहा है
",1.0 out of 5 stars,0
23,510,Gagan Verma,"
Security nahi hai lock hone ke baad bhi sweech off ho raha hai


Security problems mobile lock hone ke baad bhi sweech off ho raha hai
",4.0 out of 5 stars,1
24,528,Ahtesham,"
Sahi hain






                    The media could not be loaded.
                



 Sab sahi hain
",5.0 out of 5 stars,1
25,634,Dayaram,"
गणना खास नहीं है।


कैमरा अच्छा नहीं है। इतना खास नहीं है।
",1.0 out of 5 stars,0
26,650,Pradeep chahar,"
Waste off Money


6 gb ram me bhi hang hota h
",2.0 out of 5 stars,0
27,660,Amazon Customer,"
Paise ke hisab se thik hai


Kul mila jila kar thik hai
",5.0 out of 5 stars,1
28,672,Faizan khan,"
Nice phone


Camera or accha ho daktata tha
",5.0 out of 5 stars,1
29,679,Mohan,"
Wel done vivo


Camera or accha ho sakta tha
",4.0 out of 5 stars,1
30,720,Manoj Kumar,"
Good phone


Thik hi phone
",5.0 out of 5 stars,1
31,776,shaitan singh,"
Phone haing hota hai


Phone not good
",1.0 out of 5 stars,0
32,828,Amar gupta,"
Sahi he bugt me

",5.0 out of 5 stars,1
33,837,Abhay anand,"
Thik thak🥰


Thik hai
",5.0 out of 5 stars,1
34,848,9011635072,"
Acha


Super
",5.0 out of 5 stars,1
35,881,Kuldeep Singh dangi,"
Mast


Mast hai
",4.0 out of 5 stars,1
36,882,Vikash k.,"
Is reng me isase accha koi nhi hai

",5.0 out of 5 stars,1
37,888,Abhishek Singh,"
Badhiya


Badhiya
",5.0 out of 5 stars,1
38,895,Hariom Gupta,"
Supar pice


Yes
",5.0 out of 5 stars,1
39,927,LOVEU SONI,"
Bakwas hai na charger niklta hai or problems slow chal raha hai phone koi Replace


Adopter nhi nikalta hai replace ka koi process nhi hai bakwaas hai online lenna offline sabse badiya hai bkwas phone hai
",1.0 out of 5 stars,0
