,Number,Name,Review,Stars,Sug/Com
0,305,Prem kushwah,"
This is best for clear sound and log time use ..


Dosto 2 year pahale fd ke pass ye fast time dekha tha Lekin aaj julay 2021 me mene kharida bcz tab se le Kar aaj tak isse best sound qwalty dusre spiker me mujhe dekhne ko nahi mili .. mere fds ke pass dusre bhi he Lekin jbl ki bat alag he.. isliye thode pese jada lage Lekin aap yahi lena .. jbl me or bhi model le sakte ho Lekin Ager apka bujut 1500 he to app yahi lena .
",5.0 out of 5 stars,1
1,831,Adarsh Gautam,"
It's very good and trustworthy product.


Music sunne ke liye.water resistant bhi hai.kahi like bhi jaa sakne mei aasan hai.or America ki company hai.jo vishwaas ke yogya hai.future mei bhi mai Amazon se aisi hi acchi chine liya karunga.
",5.0 out of 5 stars,1
2,846,Khemraj,"
Battery bohot kharab quality ki hai


Starting main acchi performance di thi but kuch time baad battery kam kaam karne lagiAnd ab toh 10 seconds bhi nahi chalti bohot kharab quality hai Isse accha toh Chinese local product khareed leta mehnga khareed kar dukh toh nahi hota
",1.0 out of 5 stars,0
3,932,rkranjan,"
वेरी नाइस


हर तरह से ठीक हैं, साउंड क्वालिटी मिलाजुला बहुत अच्छा नहीं।
",5.0 out of 5 stars,1
4,1002,Aziz k.,"
not good speaker not good sound and very small very costly


not good speaker not good sound and very small very costly300 rupiye ka jo bajar me speaker milta hai vesa haito meherbani karke iske badle me 300 wala hee speaker kharide
",1.0 out of 5 stars,0
5,1415,Ritik Atre,"
फ्रॉड


मुझे नही पता कि प्रोडक्ट कैसा है क्योंकि मुझे प्रोडक्ट मिला ही नही। सबसे घटिया अमेज़न का डिलीवरी सिस्टम है , मेरे बिना पूछे इन्होंने प्रोडक्ट को रिटर्न कर दिया डिलीवरी बॉय ने भी बड़े वाहियात तरीके से बात करी और मेरे साथ शायद फ्रॉड करने की कोशिश की।
",1.0 out of 5 stars,0
6,1437,Shubham Rai,"
Ossum product


Ossum product sound quality and battery life is too good ... Aur bhaai bahut achha hai chhote packet me bada dhamaka hai. I got it on a sale of 1400 ..
",5.0 out of 5 stars,1
7,1488,shweta rastogi,"
return policy


Maine JBL Go bluetooth speaker 5 Feb 19 ko order Kia tha.. 9 Feb 19 ko deliver Hua.. 5 March 19 se bluetooth speaker phone k sath connect nhi Hua..  one year warranty me h.. kese replace kru.. pls suggest kyunki return window 19 Feb 19 ko close ho chuki h
",1.0 out of 5 stars,0
8,1643,संजय,"
2000 के अंदर बढ़िया option है


मिनी स्पीकर के according आवाज बढ़िया है ।  अगर room में मध्यम आवाज में गाना सुनना हो तो ये बेहतरीन option है । ज्यादा तेज आवाज करने पर quality of voice थोड़ी खराब हो जाती है ।
",4.0 out of 5 stars,1
9,2215,Abhishek Dhingiya,"
Sab mast ha yr isme


Ye review me 4 year bad likh raha hu or meri said me abhi bhi is hi speaker me song chal rahe ha to samjh jao or le lo bas abhi jada na socho
",5.0 out of 5 stars,1
10,2313,Pandit Arun dev silswal ji,"
Chota pack bada dhamaka...But price so high...


Nice speaker for a small room, but bass lover not'll b satisfied.....Much more.....But cost is so high ...Itne me to ek mini subwoofer aa jayega...Baki speaker accha h, par price kuch jyada hi hai, overall dekha jaye to theek hai but cost high hai....
",3.0 out of 5 stars,1
11,2441,Kundna kumar Mishra,"
Bahoot badhiya


Nice product
",5.0 out of 5 stars,1
12,2548,Kumar Shubham,"
Aur kya chahiye...


It's amazing.... Good grip.. good sound.... Good connection.... Good look... Good price... Aur kya chahiye...
",5.0 out of 5 stars,1
13,2654,Biswajit kumar jena,"
Average  and good bluetooth speaker.


अच्छा स्पीकर है आवाज भी अच्छा है ब्लूटूथ का रेंज भी अच्छा है लेकिन बेस में इतना अच्छा नहीं।Sound clarity:9/10Bass:4/10
",3.0 out of 5 stars,1
14,2805,Amazon Customer,"
Must buy


3 saal pahle khirida tha aaj bhi vaisa hi hai, pura paisa vasule product hai, pls. Go n bye if youwant to keep always with you, it's very handy, very good sound quality..
",5.0 out of 5 stars,1
15,3116,Vishu pandey,"
Good


Paisa wasul
",5.0 out of 5 stars,1
16,3166,Salunkhe sagar,"
JBL Bluetooth sound


GBL  ka Bluetooth  sound mangwaya tha  to uska payment Amazon pay per Aaya Tha Tu main request kiya tha Mere account mein amount transfer karo to Abhi Tak account mein transfer vah Nahin sir please Kuchh karo
",3.0 out of 5 stars,1
17,3432,RAVI,"
Best in the category ranging ₹2000/


I received the product day before yesterday. Till now it's better than my expectations. In hindi- देखन में छोटन लागे घाव करे गंम्भीर।
",5.0 out of 5 stars,1
18,3654,Jafar Kacchi.,"
Dam hai friend's is chote dikhne wale Saund me Maza ...


Dam hai friend's is chote dikhne wale Saund me Maza aa gaya. aap bindas lo rakhne me aasan mazbut hai. Beutful Saund bass hai mai ise lekar khush hun.👍👍👍🙌🙌🙌
",5.0 out of 5 stars,1
19,4105,Loyal customer,"
Fabulous


Chota packet bada dhamaka...
",5.0 out of 5 stars,1
20,4140,Amit Saxena,"
Worst product from jbl


Itna ganda battery backup dekha nhi maine...Paisa barbaad
",1.0 out of 5 stars,0
21,4445,vishal,"
Thanks JBL


Kya product banaya hai.... Thanks JBL
",5.0 out of 5 stars,1
22,4523,Sandeep singh,"
Best sound


Iski song quality bahut badhiya hai and battery backup bhi achcha hai
",5.0 out of 5 stars,1
23,4948,Sanjana Kapoor,"
Very good 😊


Bhut acha hai her lihaz se my husband love it
",5.0 out of 5 stars,1
