,Number,Name,Review,Stars,Sug/Com
0,11,k k shukla,"
bakwas mobile hai


bakwas mobile hai
",1.0 out of 5 stars,0
1,182,Naveen Choudhary,"
Amazon does fraud to me


अमेजॉन अब fraud करने लगी है अपने कस्टमर्स के साथ।मुझे प्रोडक्ट नही मिला है फिर भी amazon ने delivered डाल दिया है एप्लीकेशन पर।मेने पास ही के अमेजॉन गोडाउन में pta kiya hai to waha मेरा पार्सल रखा हुआ है।वे लोग कह रहे है के अमेजन अगर मेल करे के पार्सल de do to हम de denge।गोडाउन के पूरे स्टाफ को पता है के ग्लीच हुआ है अमेजॉन की तरफ से पर फिर भी अमेजॉन अपनी गलती नही मान रही है और मुझे अपना पार्सल जो के one plus nord ce 2 5g hai जो के 25000 का मोबाइल है.
",1.0 out of 5 stars,0
2,231,nupur,"
Oneplus Nord CE 2 ki Display Belink kr rhi hai






                    The media could not be loaded.
                



 Oneplus Nord CE 2 यह फोन बहुत ही बेकार फोन है इसकी डिस्प्ले बिलिंग कर रही है और फोन काफी ज्यादा हिट करता है इसकी कैमरा क्वालिटी बहुत ही खराब है और बैटरी बैकअप भी बहुत खराब है
",1.0 out of 5 stars,0
3,334,Priya sharma,"
Totally waste of money


Only paise khane wala product hai kuch bhi acha nhi hai isme featured ke naam pe nokia 1100 hai maine toh paise barbaad kar liye ab Amazon se kuch nhi le chor hai sabke sab
",1.0 out of 5 stars,0
4,363,Rahul aingh,"
Camera kharab hai video ki clarity nahi hai


Humne iska prayog isliye kiya tha camere ke liye battery ke liye per camere ki clarity bhi saaf nahin a rahi hai battery heat ho rahi hai charge karte mein chalate hain please bataiye kya Karen usmein app mein wapasi karne ka option bhi nahin a raha hai
",1.0 out of 5 stars,0
5,541,Sanjay Tripathi,"
Bahut sare bug hain. Isse jyada nirashajank Camera quality koi ho hi nahin skat.


Bahut sare bug hain. Isse jyada nirashajank Camera quality koi ho hi nahin skat.
",1.0 out of 5 stars,0
6,565,kapil yadav,"
गंदे फोन और् घटिया डीलर्स द्वारा प्रोडक्ट दिए जाते है। टर्म कंडीशन सिर्फ ग्रहाक के लिए बनी है।


अमज़ोन् पर स्कीम आती है वो सिर्फ ठगी करने के लिए आती है वो ग्रहाक को उसकी आड़ मे घटिया प्रोडक्ट दे कर एक्स चेन्ज ऑफर देते है और डैमेज आइटम देकर रिप्लेसमेंट कि जगह स्ट्रोक नहीं है कह कर रिफंड कर देते है और हमारे प्रोडक्ट कि वैल्यूज 0 कर देते है यानि सब जान बुझ कर किया जाता है ।
",1.0 out of 5 stars,0
7,591,RAJNISH Kumar,"
दुनिया का सबसे बेकार फाेेन


कृपया ये मोबाइल ना खरीदे क्‍योंकि इसका स्‍क्रीन सही से काम नहीं करता है और नेटवर्क भी सही से काम नहीं करता है और जब आप इसे रिटर्न की रिक्‍वेस्‍ट करोगे तो रिक्‍वेस्‍ट ले लिया जाता है लेकिन पिकअप करने नहीं आता है और इस तरह आप अपना 25000 रूपया से हाथ धो बैठोगे जैसे मैं ।
",1.0 out of 5 stars,0
8,611,Himanshu,"
Ek mahine me hi pH me problem hona shuru ho gai apne aap off ho jata hai to


Me to yahi bolunga ki ager apko 25000 ka pH lena hi hai to oppo ya rialmi Vivo radmi koi bhi Lelo one plus met lena bhot Ganda experience hai
",1.0 out of 5 stars,0
9,629,Supriyasuren,"
Not satisfy


Phone hang hone lag gaya hai. ek din bluetooth earphone link Kiya to video chalna hi band ho gaya delink Kiya to chalna start. fed up with this.
",2.0 out of 5 stars,0
