,Number,Name,Review,Stars,Sug/Com
0,52,Raj,"
1ghonte tak Hang ho geya tha


Oppo mbl muje pahle chosta tha ki thik samsung se jyada accha hai but this was wrng, kal mera yeh mbl hang ho geya tha, pura 40mnt tak kuch kam nehi kor raha tha, disply koi kam hu nhi de raha tha,Mera mbl pe koi game bagera kuch nhi hai sara ka sara storge/ram khali hain, tabhi agar yeh problm dia to kuch gorbor hainCamera 4/5Battery 3.5/5Disply 3/5Performance 3.5/5
",1.0 out of 5 stars,0
1,55,SULENDRA KUMAR,"
ओप्पो a71 5G फोन बहुत ही बेहतरीन है बहुत सुंदर है लाजवाब है


Oppo a74 मोबाइल बहुत सुंदर प्यारा मोबाइल है हमें बहुत बहुत पसंद आई यूज करने में भी हमें बहुत ही अच्छा लग रहा है धन्यवाद मैं देना चाहूंगा अमेज़न ऑनलाइन शॉपिंग सिस्टम और इनके आप सभी के टीम को धन्यवाद जो आप सभी हमारे लिए इतना परिश्रम और सहयोग और एक प्रकार से कहा जाए तो सहल सहायता सेवा हम लोगों के लिए आप करते हैं बहुत ही धन्यवाद मोबाइल बहुत सुंदर है
",5.0 out of 5 stars,1
2,102,Faiyaz Hossain,"
Ok for valve


Ok,phone ko bantd kar rakhna kabhi bhi galti se bhi ger gaya toh akhri din hoga dam kam karne ke liye phone body mein sirf kagaz bana diya😭...May be I again go for VIVO make strongest phone in china phone industry💯
",3.0 out of 5 stars,1
3,118,NIRBHAI SINGH,"
मैंने october 2021 में ये मोबाइल खरीदा था ,अक्सर इसमे नेटवर्क गायब हो जाता है।


मोबाइल की प्रॉब्लम सर्विस सेंटर पर दूर नही कर रहे।घण्टों नेटवर्क जिओ का केवल इस मोबाइल में नही आता।लगता है कि अमेज़न डिफेक्टिव पीस इस मोबाइल के बेच रहा है। भूलकर भी अमेज़न से oppo मोबाइल न खरीदें
",1.0 out of 5 stars,0
4,128,Rohan yadav,"
Worst phone


Phone bahut bekar h...17 July ko purchase kiya tha....aj 06 October ko volume ke button me problem aa rahi h ....on off ka button kam nahi kar raha h...camera ki quality bi acchi nahi jo normally oppo Mobile me hoti h
",3.0 out of 5 stars,1
5,189,bababajrang d.,"
चार्जिंग कैमरा दोहे दिक्कतें


ज्यादा खराब बात यही थी फास्ट चार्जिंग सपोर्ट नहीं था कम से कम 30 वाट फास्ट चार्जिंग तो होना चाहिए था और 16 मेगापिक्सल सेल्फी कैमरा होना चाहिए था जिससे वैल्यू फॉर मनी फोन होता धन्यवाद
",1.0 out of 5 stars,0
6,237,Hridesh,"
मोबाइल सही नही है


Oppo à74 mobile achha nahi hai
",1.0 out of 5 stars,0
7,314,Anil Chaturvedi,"
Worst phone don't buy it


Bekar bakwas phone hai, sunlight me display bilkul dikhta nahi chahe kitni bhi brightness badha do. Battery backup sahi nahi hai hai, hang bhi hota hai.
",1.0 out of 5 stars,0
8,338,ajay thakur,"
फोन गर्म हो रहा है ये बहुत बड़ी प्रोबलम है इस बात से हम अब oppo par विषबास nhi kar सकते


फोन गर्म हो रहा है ये बहुत बड़ी प्रोबलम है इस बात से हम अब oppo par विषबास nhi kar सकते
",1.0 out of 5 stars,0
9,366,Sanjeet Singh,"
Battery backup not good


बैटरी बैकअप नही दे रहा है।मैं इसे रिप्लेस या return करना चाहता हुPls help
",3.0 out of 5 stars,1
10,380,Rahul Kumar,"
Berry become long time not running


बैट्री बैकप बहूत खराब है एवं बहुत जल्दी बैट्री लो हो जाता है कैमरा की गुणवक्ता बहुत अच्छा नहीं है औसत में ठीक ठाक है फिंगर सेंसर बहुत अच्छा है
",2.0 out of 5 stars,0
11,389,Mohammad Rais,"
Oppo A74 5g, hanging again and again


Bakwas phone hai , 10 din bad hi hand hon shuru ho gya hai, selfin amera bhi bht acch nhin, Kisi ko bhi nhin lena chahiye , 5g m sucessessful nhin hai oppo.
",1.0 out of 5 stars,0
12,418,Krishna kundan Bharti,"
Mt Le bhai log Software Problem hai ye phone me samsung me  problem h . Hang ho rha


Software problem hai ye phone me F series ka sb phones me problem aa rhi h hang ho rhi mt le bhai ye phone koi dusra lelo sahi rhega
",1.0 out of 5 stars,0
13,477,jaisingh,"
निराशाजनक प्रोडक्ट


प्रोडक्ट क्वालिटी बेहतर नहीं है
",2.0 out of 5 stars,0
14,490,Lalit,"
Hang probalam bahut adhik hai jisase ki mai presan hun


Bekar mobail hai oppo a74 5gHang bahut karta hai tech aksar ruk jata. Hai.
",1.0 out of 5 stars,0
15,504,Vinod ,"
ठीक है औरो से


ठीक सा है
",3.0 out of 5 stars,1
16,520,Shushil,"
About mobile






                    The media could not be loaded.
                



 नहीं अच्छा है जितना उमीद था।बक़वास है जी ।very boolish
",2.0 out of 5 stars,0
17,533,Omprakash gupta,"
Loot liya Amazon ne


Are bekar phone hai sala. Iski battery aise utar rhi hai jaise koi local phone le liya hai. Don't buy any person
",1.0 out of 5 stars,0
18,535,Hari om sharan singh,"
आपने फोन के साथ,ईयर फोन नही दिया है, शायद किसी ने चुरा लिया है, यह गलत बात है


आपने ईयरफोन नहीं दिया है, जबकि ईयरफोन मोबाइल के साथ निःशुल्क मिलता है, यह गलत बात है,।।
",1.0 out of 5 stars,0
19,541,Harshit sharma,"
Awesome


Mst phone hai abhi tk use krne se to
",5.0 out of 5 stars,1
20,626,Ram soni,"
Ok


Cameras itna acha ni h jita hona chahiye
",5.0 out of 5 stars,1
21,630,Liyakat Khan,"
Ok






                    The media could not be loaded.
                



 ओके रिपोर्ट मांगी गई है तो आप क्या करेंगे और न
",5.0 out of 5 stars,1
22,712,Gulshan,"
Call regarding option on karte hi next bande ki pata chal Jaya h


Like
",4.0 out of 5 stars,1
23,730,Santosh mallinath jamadar,"
Mobail me fingar lock kharab he mobhail khas nahi he bekar he vest he paisa


Bekar he mobail ....
",1.0 out of 5 stars,0
24,743,DHARMI JAT,"
बहुत अच्छा फोन है


बहुत अच्छा
",5.0 out of 5 stars,1
25,783,Deepak kumar singh,"
Bakwas


Bakwas camera
",1.0 out of 5 stars,0
26,899,KARAN SINGH LODHI,"
2 _3 mahine me meri Bettry kam chalne lagi or kharab ho gai hi koi na kharide


Bettry kharab ho jati hi jldi mere sath dhoka huaa hi
",1.0 out of 5 stars,0
27,912,Amit kumar,"
Bahut achcha hai..


Mujhe bahut achcha laga.
",5.0 out of 5 stars,1
28,926,neeraj bharadwaj,"
बेहतरीन बढ़िया सेट बैटरी बैकअप बढ़िया कैमरा भी ठीक-ठाक है


बहुत ही बेहतरीनबैटरी बेहतरीन बैटरी बैकअप बेहतरीन कैमरा
",3.0 out of 5 stars,1
29,941,Kalpesh vadhava,"
Dilivery


Nice
",5.0 out of 5 stars,1
30,956,Ramkumartiwari,"
एक्सचेंज दूसरे मोबाइल से भरने पर क्यों नहीं होता है


All feacher and activity is best look like
",5.0 out of 5 stars,1
31,968,Shivaji,"
Bahut aacha phone hain


Zakasss phone hain . Ek dam mast mobile hain ..
",5.0 out of 5 stars,1
32,993,VIKASH panchal,"
Not goid


Camera jyada achcha nahin hai aur scratch jyada padhte Hain
",1.0 out of 5 stars,0
33,994,Jagdeesh jatav,"
कैमरा प्रोसेसर अच्छा है


बैटरी लाइफ जादा अच्छा नहीं है
",5.0 out of 5 stars,1
34,1025,Ravindra kumar prajapati,"
Amazon online


Return wapas kara dijiye display problem battery problem
",3.0 out of 5 stars,1
35,1033,Ravi SHUKLA,"
Good


Bahut pasand
",4.0 out of 5 stars,1
36,1037,Vikas jain,"
Not so good phone


18k me phone me koi maza nahi...he..
",2.0 out of 5 stars,0
37,1052,surendra,"
camera quality ,🙃


bettrylife तो ठीक है लेकीन कैमरा में दम नहीं
",4.0 out of 5 stars,1
38,1080,Mahendra Chaudhary,"
Sim problem


Sir andar sim Card nahi batavtu
",1.0 out of 5 stars,0
39,1087,JAYSHANKAR GURMAITA,"
53s se accha hai


Thik hai
",4.0 out of 5 stars,1
40,1126,BHUPENDRA YADAV,"
बहुत ही सुंदर फोन


Good luck
",5.0 out of 5 stars,1
41,1153,Shubhang Jain,"
Majedaar


🔥🔥🔥🔥🔥
",5.0 out of 5 stars,1
