,Number,Name,Review,Stars,Sug/Com
0,99,Rajendra Singh rao,"
तकनीकी खामी


में रेडमी के इस उपकरण से असंतुष्ट एवम नाखुश हु क्यों कि ..क्यों कि इस फ़ोन की कंपनी ने फ़ोन की प्राथमिक मौसम ऐप्प {default app } में भारत के मानचित्र से अरुणाचल प्रदेश के कुछ हिस्सों को नहीं दर्शाया है या रेडमी द्वारा हटा दिया गया है ....में आशा करता हु रेडमी अपनी गलती को समझे और गलती को सुधारें ..ओर सभी भारतीयों से अनुरोध करता हु की रेडमी जब तक अपनी भूल ना स्वीकारे ओर जब तक गलती को ना सुधरे फोन को ना खरीदे ...रेडमी की इस हरकत से में बहूत ना खुस हु ! सभी लोग इसपर अपना ध्यान ने सोच कर ओर विचार कर ही इस फोन को खरीदे में बिना सोचे खरीद के दुखी हूं 🚶🏾‍♂️🙏🙏🙏
",5.0 out of 5 stars,1
1,310,manish,"
Very bad service Amazon and delivery partner


Mene a phone 4 may ko order Kiya tha jab se a phone liya hai kabhi calling ki sound nahi ata kabhi side key work nahi karti kabhi flash band nahi hoga kadhi kabhi phone heet ho jata hai jab phone ko reset kar do to 2-3din k liye thik ho jayega week me 2baar phone reset karna padta hai mera phone defects pc hai jab service center walo ko bola to wo bolo hamare hand me nahi hai jab tak warranty hai tab tak aap service center visit haiye hum repair karte rahega our order karne k last day mene returns order Kiya tha lekin delivery boy bolta hai hum aap ki location par nahi ayege phir pta nahi kya huwa tab se abhi tak koi call nahi aya hai
",1.0 out of 5 stars,0
2,551,Mr Prakash,"
Bht mast hai


Pubg ke liye theek hai agr apke pass wofi hai acchi speed wala to kyuki thora render hota hai jab bande ate hai or battery backup bhi bht mast hai
",5.0 out of 5 stars,1
3,826,MOHAMMAD ANWAR KHAN,"
फ़ोन की कीमत


फ़ोन वापस किये कैंसिल किये कितने दिन हो गए पर अमेज़न पे बैलेंस में पैसे जमा नहीं हुए।
",1.0 out of 5 stars,0
4,900,Beenu,"
Hmm


Mt khareedna bhut kharab h bhut garam hota h aur abhi ek saal hi hua h ki kabhi bhi switch off ho jata h meri maanlo mt khareedo camera bhi utna kucu khaas nhiNhi
",1.0 out of 5 stars,0
5,917,Satish verma,"
बहुत ही घटिया मोबाइल, मैं भी खरीदा था एक ही हप्ते के अंदर मोबाइल खुद ही स्विच ऑफ हो ज


बहुत ही घटिया मोबाइल, मैं भी खरीदा था एक ही हप्ते के अंदर मोबाइल खुद ही स्विच ऑफ हो जाता है और खुद ही खुल भी जाता हैं , ये दिन में 2 ,3 बार हो जाता हैं, और मोबाइल का बैटरी 80% रहेगा ,एक एक 15 % हो जाता है बहुत कमिया आ रही हैं इस मोबाइल में मेरे में ही नही एक दोस्त यही मोबाइल और लिया था उसके में भी यही प्रोब्लेम आ रही थी।।
",1.0 out of 5 stars,0
6,956,Dharmendra Kumar,"
मोबाइल एडेप्टर यूएसबी वारंटी कार्ड नहीं है


रेडमी नोट 9 प्रो का पर चेंज किया है इसमें ना तो वारंटी कार्ड है ना book है ना ही एडाप्टर है ना ही यूएसबी केवल ऐसा क्यों प्लीज हमें बताएं अन्यथा return करना पड़ेगा
",1.0 out of 5 stars,0
7,1005,Ashwini Pawar,"
Mob hang ho rha hai... Sirf 1 mahina ho gya hai


Hang ho rha hai bakwas hai...sirf 1 mahina ho gya hai video call karane pr dikh nahi rha thik se
",1.0 out of 5 stars,0
8,1006,Amazon Customer,"
Speekar problem


Is phone ka speekar phtaa hai iski aavaaj bhoot ghatiya hai mujhe ye phone Cheng karana hai Kaise hoga please btaiye aaj ke baad mai Amazon se kuchh nahi mangauga mera paisa Amazon ne barbaad kar diyaa kaash mai ye phone dukaan se jakar khareeda hota ye kaise change hoga bhai logo Amazon wale return wali vindow band kar diye h
",1.0 out of 5 stars,0
9,1083,vaibhav pathe,"
उनके लिये जो अच्छे कैमरा फोन की तलाश मे है


दिन के समय बहुत ही बढीया क्वॉलिटी की फोटो कैप्चर होती है। पर रात के समय कैमरा थोडा नाराज कर देता है।48 मेगापिक्सल कैमरा लाजवाब है। पर सेल्फी कैमरा और अच्छी क्वालिटी का दिया जा सकता था।बाकी बैटरी , स्पीड और अन्य सारी चीज़े संतोषजनक है।
",4.0 out of 5 stars,1
