,Number,Name,Review,Stars,Sug/Com
0,955,abhishek kumar,"
Badhiya


Badhiya ✌🏻🌸
",5.0 out of 5 stars,1
1,1184,Gaurav Sharma,"
-


Perfact
",5.0 out of 5 stars,1
2,1884,Krishna,"
Very very good


यह बहुत ही उच्च क्वालिटी का प्रोडक्ट है और अमेजन ने इसको बिल्कुल जो समय दिया उसी समय पर भेजा है।बहुत बहुत धन्यवाद
",5.0 out of 5 stars,1
3,1905,nilesh vishwakarma,"
Nilesh


Very handy quality and worng products b sand Kiya hai wep said pe 64gb dikhate hai or use mobile me use karo to 27gb ka Naya hai galat products supply karte hai  app lo jaldi se jaldi mera paisa return do
",1.0 out of 5 stars,0
4,2251,Abhishek Dhar,"
Best Amazon product in this range


Accha hai product bs free memory 59gb multi hai par kyu memory toh 64gb ka hai baki kaha jati hai,pls help me I want to review your products I am an YouTuber Namestetechindia
",4.0 out of 5 stars,1
5,3357,DINESH JAISWAL,"
Mast hai


Best
",5.0 out of 5 stars,1
6,3387,Shinchan,"
theek thaak sa hi hai


Abhi tak toh sahi chalra, agr kharab hogya toh 128gb vala lunga return mo, so u better pray for its continuous working.
",5.0 out of 5 stars,1
7,3404,Amazon Customer,"
tik thak


tik thak
",3.0 out of 5 stars,1
8,3810,Krishna Pandit,"
पैसा वसूल


पैसे वसूल हो गया l
",4.0 out of 5 stars,1
9,4343,sonukhan,"
So nice


Bhut achhhi hain
",5.0 out of 5 stars,1
10,4378,dr sn jaiswal,"
Bahut achha


Paisa Vasool product , market se sasta
",5.0 out of 5 stars,1
11,4914,SIDDHRAJ RAO,"
diye gaye reading speed ki apeksha kam nhi karta hai.


good
",2.0 out of 5 stars,0
12,4918,Mohd Naseem ansari,"
बेस्ट है


अच्छा है
",5.0 out of 5 stars,1
13,4970,Affan ansari,"
Mast


Yo accha hai
",5.0 out of 5 stars,1
