,Number,Name,Review,Stars,Sug/Com
0,109,Naresh Nagar,"
Totally waste of money 😞


Bhut jyada heavy h starting me pehnate hi nhi lgte but jb thodi der chlte h tb chala b nhi jata per me pain hota h bhut jhyaada uncomfortable h , 2bar phne jisme hi ruhe niklne lg gye bhut bekar product h looking b bigd gyi 😞 brand jesa kuch b nhi h totally waste 😠😠😠😠
",1.0 out of 5 stars,0
1,141,Alfaiz Shaikh,"
After purchasing


Dekho both log good nice ye wo bolte hai mai seedha bolta hu agar lena hai toh accha hai lakin jo shoe tongue par sparx ki branding hai wo hat jaegi bas baaki shoes both acche hai , pata hai bro coz I'm also middle class 🙂🙂🙂
",3.0 out of 5 stars,1
2,157,RAJKUMAR ARYA,"
Value for money product look wise is good aap bhi ek bar try kar sakte ho.


Shoes looking wishes good and Sparx company ek brand ha aur agar apko iss price me ye shoes mil raha ha to aap iski aur dekh sakte ho maine bhi abhi parchase kiye ha baki use karne par maloom padega ki kitne months chalte ha ye shoes. Maine 7 size mangwaya tha number to thik ha par shoes pahnne k baad size thoda bada lag raha ha.
",2.0 out of 5 stars,0
3,169,Lekh Raj,"
Soch samjh kr lena..ye PD lo pehle


Jyada ache nhi h ye shoes... material bahut ghtiya quality ka h...1mahine me hi jute ftna shuru ho jate h...or jute gnde bahut jldi ho jate h..to soch samjh kr lena 800 me..iska price mere hisab se 350 se jyada nhi hona chahiye..that's all
",1.0 out of 5 stars,0
4,181,Robin,"
Shoe is amazing at this price  but packing is average


Shoe toh msttt hai but company ne cross cutting start kr de hai mna  1 sall pehla shoes liya tha same yhi wala usme and esma bahut farak haiMartial me pehla wala shoes ke quality jada better thiLekin ab sprax company ne cross cutting start kr de matiral quality thora cheap  kr diya hai
",5.0 out of 5 stars,1
5,229,Rajat720Dhiman,"
कम Price  मे अच्छा प्रोडक्ट मिल गया।


Pure ⚪White ColorComfortable, Affordable PriceQuick Shipping And DeliveryBest Products😍
",5.0 out of 5 stars,1
6,274,Gagan sharma,"
Damage product


Mene ye shoes order kiye the damage nikle h or WAps return bhi kr diye lekin abhi tak refund nhi aaya
",1.0 out of 5 stars,0
7,287,Jatin g.,"
Not a good product






                    The media could not be loaded.
                



 The quality is soo poor main to return Krna chata tha but box damage ho gya isilye majbori ma phen rha hu damage hai or original bhi nhi lgte khi se bhi
",1.0 out of 5 stars,0
8,306,Love,"
Bhai superb looking hai uthaalo👌👌


Bhai best shoes hai this price range mein or kya chahiye maine aaj hi receive kiye hai bilkul sahi fit hai shoes or jo size mera tha 8 maine wohi order kiya so go with actual size very happy with this
",5.0 out of 5 stars,1
9,434,SUSHIL KUMAR,"
Sparx Sue's


Sue's bhut pyara hai but Seller was very clever bag hi nahi diya Sparx ka only Sue's hai box bhi fata teda hai Amazon thada sa packing par bhi dhyan de diya karo
",4.0 out of 5 stars,1
10,457,Ankit Goel 9355,"
Thik product is not good,not comfortable






                    The media could not be loaded.
                



 Iski pasting hi kharab hai.2nd day hi gapp aane lag gya, or isko jyada der dalne se Feet Galne lage hai feet pe nishan aa gye hai
",1.0 out of 5 stars,0
11,479,Dushal,"
Matt khrido bhai bakwass hai bhut zada


😭😭
",1.0 out of 5 stars,0
12,480,Hemant raikwar,"
Old product receive


Old product receive hua hain packing bikul new jesi h magar andr old product hain please return or replace jo possible hoOr ye bina rating ke save bi ni ho raha kesa system hain
",1.0 out of 5 stars,0
13,542,kiRti sinGh,"
Lace quality thik nhi h


Iss price range m achhe shoes h 2 mahine achhe se pahado m pahn k ghume h very comfortable
",5.0 out of 5 stars,1
14,586,Gobind,"
Worth it 😍😍😍❤️❤️


Bahot awesome hai guys.... Jo koi v soch raha hai khridne ko... Definitely aankh bnd kr ke lo..Bahot hi jyda styling nd cool hai ...
",5.0 out of 5 stars,1
15,601,irfan a.,"
Quality..


Bahut badhiya shoe aay hJese socha tha usse bhi kaafi ache dekhne ko mileQuality bhi bahut achi hThank you soo much Amazon
",5.0 out of 5 stars,1
16,604,kamlesh Kumar Mandal,"
Very good


Bahut hi achha hai
",5.0 out of 5 stars,1
17,714,Vipingautam,"
Quality compromise


Phle din hi pahanne pr sticker nikal gya front lays k pass walaCustomer product quality or brand dikhane ko leta h pr
",4.0 out of 5 stars,1
18,822,Rohit Mishra,"
Quality bahut achee nhi hai ..


Quality and soal bahar aane lge 3baar ke pahne ke baad .. leses ki jagah black spot aa gya
",1.0 out of 5 stars,0
19,926,Hukum Chand Thapa,"
Gud quality


Kam chalao hai
",1.0 out of 5 stars,0
20,928,Amazon Customer,"
Ekdum solid hai boss


It's very cool and classy look, bole to boss pura Paisa wasul shoes hai ye, Amazon ki delivery bhut achi hai, sparx has become my favorite brand, budget Mai is sparx shoes se acha white shoes pure India Mai nhi hai
",4.0 out of 5 stars,1
21,992,vijay singh meena,"
Value for money


Abhi ye shoes liye mughe 4-5 month ho geye h or ye Abhi bhi Sahi condition m h awesome product from sparks
",5.0 out of 5 stars,1
22,1018,Rohit,"
UK 9


It's just awesome,kya baat hai awesome quality maza aa gya , itne pese me ye brand best hai , must buy it ,
",5.0 out of 5 stars,1
23,1173,Samim,"
Good quality


Bahut teji se gande hote h 😁
",5.0 out of 5 stars,1
24,1177,Ajay rawat,"
Mahange dere hai thoda


Mahange hai but sahi hai per yahi shoes Flipkart me 500 ke milre hai
",3.0 out of 5 stars,1
25,1403,MD SARFRAJ AHMAD,"
Acchi h


Bhaut acchi h lekin Jab market m nikoge toh 3/10 admi k pass yahi rahega
",5.0 out of 5 stars,1
26,1529,ARAVIND pandu,"
Avarage3


Avarage3
",4.0 out of 5 stars,1
27,1556,Umesh Yadav,"
Yaha bahut hi styless hai


Yaha bahut hi acha camfatable product y
",5.0 out of 5 stars,1
28,1633,LATIKA Sahamate Kadam,"
zakkas...


ekdam zakkas
",5.0 out of 5 stars,1
