,Number,Name,Review,Stars,Sug/Com
0,100,Gm,"
Ware puware


Ye left wali klipe eare me lagane se khul jati hai awaje bhi fasti hai ise exchanje karna hai  jaldi se aap ese exchaje kar le mera phene khrab tha is liye message bhi nhi kar paye  aap jald he exchanje kar le mere paas garante warante kard hai plese ese jaldi exchanje kar le mujhe gift karna hai aap ke saide pe best cheje hote hai is liye magaya tha agar black Color aa gye ho to hame wahi dena  but amezon wala dibba fat gaya hai plese jaldi kare mujhe black Color wale bhej dena
",1.0 out of 5 stars,0
1,348,Zishan ansari,"
Bekaar ear phone


Br br connection tut jata hai phone se ...ek me aawaz aata h or ek me ni...roz roz yahi face krte hai.... Now i m going to use Samsung ear buds .Bht bekaar ear buds bana raha boat . Av v time 9:57 ,12/7/22 me v same problem face kr rahe hai as mentioned above.
",1.0 out of 5 stars,0
2,396,Bhushan Patil,"
Best product on its price segment


मुझे 1 महीना हो गया उसे इस्तेमाल कर ते हुवे, बैटरी बहुत बड़ी या performance he,voice call pr बात करने के लिए बहुत अच्छा हे,but jo music ya gaming ke shokin he o dispoint ho jayenge....other wise very good product From-boAt ,on its price segment...
",5.0 out of 5 stars,1
3,420,ARS,"
Very bad product


Bahut ghatiya product, jab aapko milega tab pata chalega , aur fir koi option nahi kyuki no return.. aur fir 8-10 din baad pata chalega charging to chalti hi nahi, tab replacement period bhi khatam ho gaya hoga... Hahaha matlab company ne bewakoof bana diya
",1.0 out of 5 stars,0
4,452,Muhammad Zeeshan,"
Nice product


Sub kuch acha hai but esko laga kar scooty ya bike driver nahi kar sakte our mic bhe nahi h esmey ye khali offical wale logo ke leya subsey sahi hai agar koi ye socha ke buds acha hota hai to paisa vast hai balke neck band sahi hai our baki koi problem nahi hai?
",1.0 out of 5 stars,0
5,513,arif,"
Please improve built quality


It worth 800/-But in just 6 months battery is not working100% mai bs 2 charge krta hBuds bhi 3 ghante hi chalte hBekaar h sound quality bhiKoi mat khareedna
",5.0 out of 5 stars,1
6,527,Ramashanker Khandelwal,"
Very poor blue tooth connectivity


इस प्रोडक्ट की ब्लू टूथ connectivity बहुत ही खराब है, frequently disconnect होता है, इसका return भी नहीं है, ये product same product से ही replace होता है।इसके रिप्लेसमेंट में दूसरा प्रोडक्ट भी नहीं ले सकते।😞😞😞😞😞
",2.0 out of 5 stars,0
7,547,Ved Prakash,"
Best in price


Price ko lekar mastt haiComfortable thoda kam haiSound ke liye jyada andar krna pdega buds koOverall best in priceM b use krra hu ap b karo👌
",4.0 out of 5 stars,1
8,775,AMIT T.,"
Bluetooth ki connectivity acchi nahin hai bar bar disconnect ho jata hai


Bluetooth connectivity ki quality acchi nahin hai sound quality bhi theek hai humko to wapas karna hai but hamara time Nikal Gaya hai yah bhi Aaj humne dekha ab kaise return hoga ki humko jankari hai online humne pahle bar mangaya tha
",1.0 out of 5 stars,0
9,807,Laxman Pawar,"
Don't buy boat products.


Don't buy boat products.Mene is product ko 3 month pehle kharida tha.Right bud work nhi karra me service center gaya vahaka service bhi accha nhi tha bas yahase vha alag alag service center bhagate hai.Don't buy 🙏🙏
",1.0 out of 5 stars,0
10,838,Deepak Thakur,"
Noise cancelation not available


Agr sirf music sunne ke liye lena hai to sahi. Agr bat karne ke liye use karna chahte hain to mat lena. Noise cancelation nhi hai. Voice me bahut noise jata hai samne wale ko.
",1.0 out of 5 stars,0
11,920,Parveen,"
Bilkul bhi sound acchi nahi hai aur amount 1300 hai


Sir I want my money refund as i didn't like the bass quality of this product even not sound is good .Local quality hai ek dum . Mujhe replacement nahi refund chahiye
",1.0 out of 5 stars,0
12,989,Abhilasha Soni,"
I don't like this product


Ek number ka ghatiya product h paise Barbad h ye earbuds 1 week ke bad hi iski sound quality bhut ghatiya ho gai aap log isko lekr krapya mere just apne paise Barbad na kre
",1.0 out of 5 stars,0
13,1040,SANJEEV KUMAR MISHRA,"
जरुरत है बहुत कुछ बदलने की


ध्वनि सुंदर एवं आनंदमय नहीं है अंततः मेरा सुझाव यही है कि इसे न लिया जाए ।
",3.0 out of 5 stars,1
