,Number,Name,Review,Stars,Sug/Com
0,55,Omi Sharma,"
Poor quality


Apki jaisi beard hain waisi hi rahegi baki age ke hisab se apne aap groth ho jayegi isko na le bekar hain ye
",1.0 out of 5 stars,0
1,84,Gagan Vishwakarma,"
GOO


Thik hai matlab Kam Karta hai per utna koi khas nahi hai 1 month use kar sakte hai jaha per hair nahi hai wahan use kar sakte hai 👍
",4.0 out of 5 stars,1
2,125,Gaurav,"
Naye baal nhi aate h es se bas balo ko jadi bada karta hai bas


Naye baal nhi aate h es se
",1.0 out of 5 stars,0
3,150,Prachi Uttam purohit,"
Bakwas


Bakwasss product ha ye shaving ko smood soft karne ki bajay or hard kar deta ha...koi mat lena ye oil
",1.0 out of 5 stars,0
4,154,Amazon Customer,"
Don’t west your money and time koi bhi effect nhi pada isse


Don’t west your money and timeKoi bhi farak nahi pada breed per
",1.0 out of 5 stars,0
5,177,Mufazzal Husain ,"
असंभव


जिनके दाढ़ी के बाल बहुत ही नाज़ुक और पतले हों उनपे असर कर सकता हैमेरे दाढ़ी के बाल ही नहीं है तो इनपे कोई असर नहीं हुआ मैं आधे से ज्यादा यूज कर चुका हूं कोई फर्क नहीं पड़ा
",2.0 out of 5 stars,0
6,246,Suresh Kumar Raut,"
Kuchhu bi benifit Nehi he isme


Not result
",5.0 out of 5 stars,1
7,256,Manoj Chaturvedi,"
Good 👍


अच्छा है
",5.0 out of 5 stars,1
8,316,Sanjay Kumar yadav,"
Money west


Money west hai bakiyon ka to west ho gya achha review ratings dekhe agle ka bhi karwa rhe
",1.0 out of 5 stars,0
9,408,Sparky,"
Average


It's quite good...but utna bhi kuch khas nehi hai...
",4.0 out of 5 stars,1
10,559,mahipal,"
Ya oil kuch kaam nahi kar tha hai bad👎 oil


Barad growth nahi kar raha hai Bad oil
",1.0 out of 5 stars,0
11,604,Namita,"
Bahut bariya hai


Awsm
",5.0 out of 5 stars,1
12,611,Rakesh,"
Bekar hai


Bekar haiKoi fayda nahi hai
",1.0 out of 5 stars,0
13,661,Kadir Shaikh,"
Very nice


App us karke dekh lo bohot acha hai
",5.0 out of 5 stars,1
14,678,Ankit Sharma,"
beardo ne bal itne bade kar diye ki jhanto jaise bal bade ho gaye :D


Delivered on time. Great quality. Must Buy. Thank you!
",5.0 out of 5 stars,1
15,697,Niraj rajkumar yadav,"
Very bad product not effective, paisa barbad


Kisi kam ka nhi products paisa waste h ispe
",1.0 out of 5 stars,0
16,716,Surya bhai,"
Kali box receive hua






                    The media could not be loaded.
                



 Box ke andar se Tel gayab hai box khali tha
",1.0 out of 5 stars,0
17,732,Subhankar Duari,"
Normally chal jayega


Awesome
",5.0 out of 5 stars,1
18,837,Abhinav,"
फ़र्क़ नहीं पड़ा


फ़र्क़ नहीं पड़ा
",3.0 out of 5 stars,1
19,1014,Sharma Dhirajsharan,"
Ese kese hoga yaar


Waste of money
",1.0 out of 5 stars,0
20,1071,Rajender verma,"
Nice, easy to use


हा यह बालों की ग्रोथ मै help करता हैं
",5.0 out of 5 stars,1
21,1154,Ranjit,"
Kuch khash nahi


beard growth ke liye
",2.0 out of 5 stars,0
22,1209,Farhan ahamad,"
Kuchh samajh me nahi aaya


Beard badhane ke liye
",1.0 out of 5 stars,0
23,1284,Vinay,"
Katai bekr


No effect... saalo natural aaygi beard in sb chizo p paisa waste na kro
",2.0 out of 5 stars,0
24,1622,Vishal kumar mahato,"
Bakwas


Bakwass
",3.0 out of 5 stars,1
25,1673,Bhagirath prasad,"
Awesome


Chutiya
",5.0 out of 5 stars,1
26,1685,Deepak Bhardwaj,"
Worst product


Fail product 3 month ho Gaye mujhe use karte lekin 0% improvement
",1.0 out of 5 stars,0
27,1734,Vicky Ratre,"
Kuch kaam ka nhi....bekar h


Not usable
",1.0 out of 5 stars,0
28,1845,Pramod,"
Very good


Ovarall Thik hain.
",4.0 out of 5 stars,1
29,1904,Rishabh a.,"
Skin oily ho jayegi bs hoga kuch bhi nahi


Not growing nothing happen...
",1.0 out of 5 stars,0
30,2068,Raju rajbhar,"
Bekarr h


Bekar h
",2.0 out of 5 stars,0
31,2075,pratik bisan,"
Ab dekhte hai iska effect  hota hai yaa nahi... haa or din me kitni bar lagana hai


Original  to mila hai
",5.0 out of 5 stars,1
32,2199,Muhammad Abbas,"
Fack


Bakwas hy Mainy use kia but koi Fyda ni hua
",1.0 out of 5 stars,0
33,2301,Shubham patil,"
Bakwas he yar


Bakwas
",1.0 out of 5 stars,0
34,2369,jaspal,"
Five Stars


bakwas
",5.0 out of 5 stars,1
