,Number,Name,Review,Stars,Sug/Com
0,4,"निश् पांचाल, (कुल गुरु जी, गुरु विश्व कर्मा) ","
प्रभावशाली व्यक्तित्व की कला और 3 करोड़ से ज्यादा हिंदूस्तान में बिक चुकी है






                    The media could not be loaded.
                



 डैलस कारनेगी दिलचस्प शैली और सरल भाषा में बताते हैं कि लोगों को प्रभावित करने के आज़माये हुए अचूक तरीक़े अपना कर आप किस तरह अधिक सुखी और संपन्न बन सकते हैं॥ पाठक जान पाएंगे कि वे अपने व्यवहार और तौर-तरीकौ़ में बदलाव लाकर अपने प्रति दुनिया का नज़रिया कैसे बदल सकते हैं॥१ किस तरह तुरंत और आसानी से दोस्त बनाएं२ किस तरह लोगों को आपकी बात मानने के लिए तैयार करें३ किस तरह नए ग्राहकों का दिल जीतें४ किस तरह एक बेहतर और रोचक वक़्ता बनें५ किस तरह अपने साथियों व सहकर्मियों में जोश का संचार करें""संबन्ध सुधारें, लोगों को प्रभावित करें और अपने उददेश्य में सफलता पाएं॥
",5.0 out of 5 stars,1
1,9,Gourav,"
Exlnt dlvry .... within 4 days.in rural area


Aabhi pdi nhi h.... but dhik rha h.... mere pass kuch khass chizz ayi h...... exm k bad pdunga.... ....Abi dlvry fdbck h.... Amzn ki dlvry hmesa hi exlnt hoti h...... soo 5 Stars to its dlvry
",5.0 out of 5 stars,1
2,29,Raj Vora,"
Best book


बेहतरीन किताब । यह किताब को समय से परे कहा जा सकता है । जो मानव के मुल स्वभाव को प्रभावित करती है, ओर इतने सालों बाद आज भी उतनी ही उपयोगी है ।
",5.0 out of 5 stars,1
3,41,Anurag s.,"
जरुर पढ़े


जरुर पढ़े
",4.0 out of 5 stars,1
4,44,Mahesh Kumar,"
लोकव्यवहार


व्यवहारिकता में लोकव्यवहार के तरीके बताने के लिए बहुत-बहुत धन्यवाद। यह किताब वाकई में लाजवाब है। मैं इसमें बताएं हुए तऱीके अवश्य आजमाने की कोशिश करूंगा।
",5.0 out of 5 stars,1
5,47,Patrakar Kishan,"
बढिया है


लाजवाब है
",5.0 out of 5 stars,1
6,52,Kedar Singh,"
बहुत बढ़िया


यह किताब बहुत ही अच्छे तरीके से लिखी गई है।अगर इन सिद्धांतों का पालन किया जाए तो सफलता जरूर मिलेगी।
",5.0 out of 5 stars,1
7,59,Raj Patel,"
किसी भी मनोविज्ञान या body language की पुस्तक से ज्यादा सरल तथा कारगर है।


लेखक ने पुस्तक लिखने में वाकई बहोत मेहनत की है उनकी लिखी बातें किसी जादुई शब्द से कम नही है, पुस्तक वाकई जीवन में 100 बार पढने के लायक है।
",5.0 out of 5 stars,1
8,63,Yogesh Kumar,"
आपकी छवि बदल देगा।


आपकी जंग लगी बुद्धि जरूर साफ होगी..!! वास्तविक में आपकी  व्यवहार लोकप्रिय बनेगा।
",5.0 out of 5 stars,1
9,74,Monu Panchal,"
Bhut achhi book hai.






                    The media could not be loaded.
                



 Bhut achi book hai.  sabhi logo ko yh book padni chahiye
",4.0 out of 5 stars,1
10,80,K.B.Maurya,"
Splendid and affluent


शानदार जबरदस्त पुस्तक।
",5.0 out of 5 stars,1
11,105,Vismjeet Gautam,"
Very nice and helpful






                    The media could not be loaded.
                



 Bhoot accho kitab h,hoske to har kisi ko jrur pdni chahoue
",5.0 out of 5 stars,1
12,106,Shyoraj choudhary,"
बहुत ही शानदार जीवन को पूरी तरह बदलने वाली पुस्तक


बहुत ही शानदार जीवन को पूरी तरह बदलने वाली पुस्तक
",5.0 out of 5 stars,1
13,122,OMPRAKASH VISHWAKARMA,"
बेस्ट बुक दिल जीतने का


बहुत ही शानदार बुक है लोगो का दिल कैसे जीते बातचीत में अपनी प्रभाव कैसे छोड़े
",5.0 out of 5 stars,1
14,139,Dharmendra Nath,"
बहुत हीं बढ़ियां


अच्छी सर्विस, गुड जॉब
",5.0 out of 5 stars,1
15,140,Sujeet Kumar,"
इसे जरूर पढ़े


Good
",4.0 out of 5 stars,1
16,147,Anil pal,"
लोगो से आपकी बात मनवाने में मदद करेगी l






                    The media could not be loaded.
                



 Very useful for parsnalty development.
",5.0 out of 5 stars,1
17,148,dr parvez,"
Best book Maine abhi tak ki jitni bhi books padi ...


Best bookMaine abhi tak ki jitni bhi books padi hai usme se ye sabse best haiFrom this book we will defiantly grow our busness and our popularity...
",5.0 out of 5 stars,1
18,153,MANOJ PASWAN,"
Exelent


अपनी जानकारी को बढ़ाने के लिए
",5.0 out of 5 stars,1
19,164,Amazon Customer,"
Agar Apki Week Hai Communication Skill To Jarur Buy Kare Ye Book


Bhut Badiya Book Hai
",4.0 out of 5 stars,1
20,189,Dharmraj singh,"
अप्राप्त पुस्तक लोक व्यवहार


अभी तक प्राप्त नहीं हुआ है जबकि लिखा है कि 04/04/2021को ही डिलीवर हो गया है
",1.0 out of 5 stars,0
21,207,Gurvinder singh,"
Superb book


Page thode se thode se roughly hai
",4.0 out of 5 stars,1
22,257,Vicky,"
Five Stars


Such mein achi book Hai.
",5.0 out of 5 stars,1
23,274,Mr Ak Singh,"
बहुत ही बहुत सुंदर बुक

",5.0 out of 5 stars,1
24,303,Dev,"
Five Stars


Adbhut...... jrur jrur jrur padhe ek bar
",5.0 out of 5 stars,1
25,319,Deepak Agarwal,"
mast book hai paisa wasool ho gaya


everyone should read this book it can change your thinking.yeh bahut acchi book hai.
",5.0 out of 5 stars,1
26,330,Amazon Customer,"
Five Stars


BOHOT HI BADIYA BOOK HAI SABHI KO PADNA CHAIYE
",5.0 out of 5 stars,1
27,342,Samira S.,"
Four Stars


Book Ki Size Kafi Choti Hai Yani Choti Hai Size Mein Kitaab Bahot Achi Bilkul Khareed Sakte Hain
",4.0 out of 5 stars,1
28,345,Pawan Singh,"
5-Satr


5-Star
",5.0 out of 5 stars,1
29,407,gaurav dwivedi,"
ISKO HAMESHA APNE PAS RAKHO


I THINK IT SHOULD BE READ AND APPLY IN DAILY LIFE
",5.0 out of 5 stars,1
30,447,rajendra kumar,"
jabrdast


Sabse pehle Thank you very much amazon.in your service is very fast. 8 sep ko order kiya or 9 sep ko mil gaya.And book is very fantastic.
",5.0 out of 5 stars,1
