,Number,Name,Review,Stars,Sug/Com
0,529,Maddy Mohit,"
Love it 😍 but hate Amazon delivery 😭


This is awesome pr jb mene yehi product offer pr 1600rs me mngvaya to muze Mila nhi boht bura lga or 7 days tk wait kraya pr 2000 me bhi acha hai 😍😍 Bhai fingers pain hadd hota hai 😫😫
",4.0 out of 5 stars,1
1,546,Gourav Agnihotri,"
I love it


Bahut hi acha guitar hai lekin stings ki quality achi nhi hai
",5.0 out of 5 stars,1
2,555,meenakshi soni,"
Really awesome


Jaisa description hota hai waisa hi hi.....Am superb satisfied
",4.0 out of 5 stars,1
3,612,Abhay,"
Paisa waste


𝕄𝕒𝕙𝕒 𝕜𝕙𝕣𝕒𝕓 𝕥𝕙𝕒Aur amazon ka refund system usse bhi jyada kharab
",1.0 out of 5 stars,0
4,716,Amazon Customer,"
Bekaar h bhai


Bekar hai or prize jada h , paise ki barbadi
",1.0 out of 5 stars,0
5,779,Md Ajmal,"
Ye bahut hi baakr guitar hai koi mat kharidna


Bahut bekaar guitar hai koi mat kharidna
",1.0 out of 5 stars,0
6,1205,anshul,"
Three Stars


guitar accha hai. Lekin action thoda high hai.Givson saiye agar compare karetho juarez k soung kafi accha hai
",3.0 out of 5 stars,1
7,1542,Amresh k.,"
Five Stars


le lo yaar rockstar ban jaoge
",5.0 out of 5 stars,1
8,1561,Jasmain,"
Hi


Bhai price me hisab se mast also good hai ilove this guitar
",5.0 out of 5 stars,1
9,1585,Piyush Singh,"
Are bhii ye thik nhi h hmnee black colour order ...


Are bhii ye thik nhi h hmnee black colour order Kiya tha lekin blue colour Mila or aacha v nhi h
",2.0 out of 5 stars,0
10,1599,Amit yadav,"
Mt lena isko


Chutiya product
",1.0 out of 5 stars,0
11,1784,Ganesh singh,"
Bakwash


No good
",1.0 out of 5 stars,0
12,1793,Dvj Ajay,"
Bekar


Maza nahi ata h
",1.0 out of 5 stars,0
13,1966,Ankit mishra,"
Worst


Bahot hi bekar ....worst product
",1.0 out of 5 stars,0
14,2032,Arti,"
One Star


Bakwas toota hua thA
",1.0 out of 5 stars,0
15,2286,Amazon Customer,"
One Star


Bara bar nahi hain hatt only guitar diya baki ka kuchbhi nahi hain....
",1.0 out of 5 stars,0
16,2499,Amazon Customer,"
Ghatiya guitar hai


No rating this
",1.0 out of 5 stars,0
17,2617,Akash jain,"
डिलेवरी


आपकी डिलेवरी सर्विस बहुत ही ज्यादा खराब है 2 दिन केवल ऐड में दिखाया जाता हैं पर सत्यता कुछ और ही है।
",2.0 out of 5 stars,0
