,Number,Name,Review,Stars,Sug/Com
0,120,Abhay Shukla,"
Don't buy this product, it's waste of money.


Please don't buy this product/कृपया इसे ना खरीदें1-Miscibility/घुलनशील- 70% It's not completely soluble in milk, normal water , chilled water anywhere .2-Taste /स्वाद- Too bad/ बेहद ही बेकार स्वाद3- It smells like bleaching powder, can't bearable .
",1.0 out of 5 stars,0
1,161,Shravan,"
Such ha nice protein  best result in lowest price


Best protein in this lrice segmentBest result i ever experiencedEasy nd fast digestFlavour koi nhi ha but bkar nhi lgta aacha lgta ha even milk ma lo to ksa bhe nhi lgta asa lgta ha jse milk he ho bssWater ma thoda sa alg lgta ha but best haa
",5.0 out of 5 stars,1
2,199,Gagan,"
Never buy it never ever


Thode jada paise milaa kr achha whey protein le lena pr ye mt lena kbhi paise ho ya na ho mixability  bhut hi bekar hai achee  review dekh kr maine bhi liyaa jabran use kr rha hoon kuki paise lge h wrna fek deta koi aisa whey protein lo jisme 80% protein ho isme 40% h mt lenaa kbhi bhiii
",1.0 out of 5 stars,0
3,276,Amer khan,"
Test👎😡  mixbility👎😡  my money


Sastha dikha kar  ke Loot rahe hai  bhai😡Bade film star ko brand ambassador Banakar bevkuf banaa RaheBhai Kabhi Bhi Bade star Ko Dekhkar product Nahin Kharidungatotal waste my money 😡
",1.0 out of 5 stars,0
4,284,Nikhil,"
सप्लायर धोकेबाज़ है खुला पैकेट इस्तेमाल करा हुआ भेजा


पहली बार रिच चॉकलेट ओपन पैकेट आया जिसका वजन भी 1 kg की जगह आधा किलो निकला पैकेट एक कोने से फाड़ कर use कर रखा है जल्दबाजी में उसका स्पून पाना भी भूल गए सभी पिक डाली हुई हैअगर कोई भी मंगवाना चाहे सप्पलीमेंट तो वजन करके ले 1kg +100 या150 ग्राम वजन हो तो ले
",1.0 out of 5 stars,0
5,297,vishal s.,"
Never buy


Guys maine 2 months use kiya isko 2 kg ka magaya tha ... Meei jo thodi muscle thi bo bhi loss ho gai kabhi buy mat karna
",1.0 out of 5 stars,0
6,329,Mufaddal Nagri,"
Cheap and best


Its very effectiveMai weight loss kar raha hu or ye mujhe usme bhi acche results de raha haiThis i my fat los only 1% bhi muscle loss nhi hua
",5.0 out of 5 stars,1
7,391,Arjun Suryavanshi,"
💯 satisfied


100/100 shandar product pese ka bhot jyada matter rehta h. Gym m. Thanx to big muscles
",5.0 out of 5 stars,1
8,396,mohit gudwani,"
Theek hai bss


Maine ise 900rs me purchase kiya tha then back injury ho gyi thi fr daan kr diya pta ni kiska bhala hua🤷🏻‍♂️
",3.0 out of 5 stars,1
9,413,Sumesh pandey,"
Sabse ghatiya


Sabse ghatiya jo lavale per so kar raha h utana protein bhi nhi deta h 100 gram me 25 gram protein deta h or likhata h 30 gram me 20 gram protein fake h sala pura material
",1.0 out of 5 stars,0
