,Number,Name,Review,Stars,Sug/Com
0,107,Ayurvedic Gyan,"
Good Quality products


Good packing 🙂. Use Authentication code.. ab new product me Seal aati hai. Or spoon white color ka hai. Agr product ko under se seal hai or verification success hota hai. To product original hai.... Or hamesha cloudfil se hi order kro.. orginal product hi aayega ... review esiliye likh raha hu taki normal logo ko sab samz me aaye ...
",5.0 out of 5 stars,1
1,228,Sushil Kumar,"
गलत प्रोडक्ट डिलीवर करने बारे


जो प्रोडक्ट मैंने आर्डर किया, वो बदलकर मुझे दिया गया, जो ON WHEY GOLD PROTEIN POWDER, CHOCOLATE FLAVOUR मुझे भेज गया, उसमे बदबू आ रही है और मुझे पैकिंग से निकाल कर मेरा प्रोडक्ट मुझे दिया गया, कृपया उस प्रोडक्ट को एक्सचेंज किया जाए
",1.0 out of 5 stars,0
2,280,Ravi Sharma8587,"
yah protein duplicate Hai  ye koi  protein Nahi hai only  chocolate powder hai


yah protein duplicate Hai  ye koi  protein Nahi hai only  chocolate powder hai
",2.0 out of 5 stars,0
3,300,Mohd faisal,"
Mere box phele se he open hhh mere protine ko kisi ne phele se he open kar ke bhaja hhh






                    The media could not be loaded.
                



 Bhut jada kharab mujha product bhaja gaya hh jo phale se he open tha 😡😡😡😡
",1.0 out of 5 stars,0
4,350,ketan,"
Good for health and body building.


Good protine taste is good this is my first order double rich chocolate mra ye 2 lbs ka 40 days chla hai or ab  aaj he 5 lbs ka order keya hai valila icecream  usko bhe kha k dekhte hai kaisa rahe ga uska taste aa jaye ga mre pas  2 ya 3 din tk .
",5.0 out of 5 stars,1
5,895,Satyakumar Mekkalake,"
Product achhi nhi hai


Worst
",1.0 out of 5 stars,0
6,1094,kulwinder jeet,"
100% orignal product.


100% orignal product .apko bhi on whey protien lena ho to cloudtail per order kre yeh amozen ke best seller hai
",5.0 out of 5 stars,1
7,1114,Ajay kumar,"
yah fek hai  product hai iska verify number bhi wrong hai


yah fek hai  product hai
",1.0 out of 5 stars,0
8,1165,Shahid ShAh,"
Useless


Iss se kuch b nhi hota. Useless product
",2.0 out of 5 stars,0
9,1308,Amazon Customer,"
Dubble rich chocolate flavour


Flavour to thik he bhai nd product bi original dilavar hua he ab results dekhna he bs kesa he ..
",1.0 out of 5 stars,0
10,1536,Ronak chauhan,"
Ronak Chauhan


Good
",5.0 out of 5 stars,1
11,1563,hariom rana,"
Superb


Bhai logo...ikdum original priduct h..ye mene 2399 rupees m liya..aur iska koi side effect bhi nhi...mast h
",5.0 out of 5 stars,1
