,Number,Name,Review,Stars,Sug/Com
0,585,Prime Member,"
Good product 😘


4 din use karne k baad mujhe lagta hai ₹500 m bahut achi chiz hai battery life bhi bahut achi hai. Plastic bhi bahut acha use kiya gaya hai. 6 month ki warranty bhi apki assurance ko fill krti hai. Ant me btana chahunga bahut achi chiz hai bina kisi doubt k buy kar skate hai.
",5.0 out of 5 stars,1
1,671,Jaidev singh Awana,"
अतिरिक्त टैक्स,पैकेजिंग मूल्य की पूर्व सूचना नहीं देने पर आपत्ति


सेवा में,अमेजोन केंद्र प्रभारी अधिकारी,सर/मैडम,इस वस्तु के मूल्य पर आपने टैक्स धनराशि अतिरिक्त रूप में अलग से जोड़ी है,पैकेजिंग व डाक मूल्य अलग से लिया है और उसे वस्तु विवरण साथ शुरू में भी नहीं दर्शाया है।जबकि भारत मे जीएसटी-GST वस्तु मूल्य धनराशि के अंदर ही विक्रेता द्वारा लिया जाता है न कि उसके ऊपर।अगर मेरी बात सही है तो कृपया शेष धनराशि मेरे अमेजोन बेलेंस में जोड़े,किन्तु यदि सही नहीं है तो सही स्थिति स्पष्ट करें
",4.0 out of 5 stars,1
2,1117,Rahul,"
Ek dam bakwas


Ek to saala sirf 6 month ki warranty di hai...Wo bhi 1 month me kharab ho gya...Battery life itni ghatiya... 10 min se jada chalti hi nhi h...15-20 mosquito ek sath kya maar lo... Uske baad mosquito marna hi band ho jata h...Hit brand dekh k itna expensive 2 order kiya...dono hi ek jesa nikla...1 month me dono ki aisi ki taisi ho gyi h...Hatt...
",1.0 out of 5 stars,0
3,1493,Sarfaraj Khan,"
Battery Is Very Low






                    The media could not be loaded.
                



 मैं पहले भी ये मांगा चुका हु तब ये बहुत बढ़िया चलता था लेकिन इस बार जो आया हैं इसकी बैटरी कुछ खास नहीं चलती क्या इसको रिप्लेस किया जा सकता हैं कोई नंबर दीजिए जिससे शिकायत पर ये रिप्लेस हो जाए
",1.0 out of 5 stars,0
4,1539,saroj thakur,"
Kachra bhej dete ho customer ko.


Dislike
",1.0 out of 5 stars,0
5,1619,Krishna Kumar Gupta,"
Bad seller hai


Seller bad hai iska product bahut kharab hota hai, isi seller se maine sampoo mangaya hai Tresemme ka hair fall hone laga 2 bottle sampoo pada hai aur ye mosquito bat kharab hi bhej diya kam hi nhi kar rah
",1.0 out of 5 stars,0
6,1625,Mayank ojha,"
Defective piece


Defective piece hai. Battery loose aayi thi. Wire tuta hua tha andar se white wala.Khol ke sahi kiya tab use kiya..
",1.0 out of 5 stars,0
7,1810,S.k. chauhan,"
सामान का सील टुटा हुआ मिला,  ऊपर का Amazon द्वारा पैकिंग सही मिला।






                    The media could not be loaded.
                



 उपयोग के बाद
",2.0 out of 5 stars,0
8,1869,Rishav Rai,"
3 month me hi product kharab ho gya


3 month me hi product kharab ho gya company wale warranty clam bhi nhi kar rhe hai. Call bhi nhi utha rhe or na hi email ka reply de rhe hai. bekar product hai or bekar company hai. Please ise buy mat karna.
",1.0 out of 5 stars,0
9,2012,Vishal Kumar Pandey,"
Nice.


Nice racket. Pta nhi kya hua idko purchase krne ke bad mere ghar me mosquitos hi nahin aate.. works superbly fine.. 👍🏻
",4.0 out of 5 stars,1
