,Number,Name,Review,Stars,Sug/Com
0,6,Gufran,"
Sudhar jao Samsung walo zaadu mat dikhao


Charger hi gayab kar diya agali baar mobile gayab kar dena☹️☹️☹️
",1.0 out of 5 stars,0
1,68,mayank chourey,"
Ghatiya ek dam


Ghatiya ek dam 18000 mobile + 1200 ka charger liya per mobile always hang mostly time not useful product waste of money is acha toh MI ka 12 -14000 ka mobile Achcha hai
",1.0 out of 5 stars,0
2,207,hemant,"
Bakwas A Big zero for this phone Samsung M33 5G


Plz don't buy Samsung  M33 5g name change kr diya h bs cheej vhi h bakwas.  Battery 6000mAH h naam ki kaam 2000 mAH ka bhi nhi krti or for front camera 📷  5/10 and 1/10 rear camera 📷
",1.0 out of 5 stars,0
3,246,Shree ganesh,"
Kyo Maine kharida ye phone


Sunday ko deliver hua Hai aur Monday tak Mai pareshan ho gaya hua. ( 2 days review)Pros1. Pata nahiCons1. Heating issue - Kuch bhi na Karo tab bhi heat up hi rahta hai.2. Gaming issue - bhul hi jao Game khelna.Screen hang ho jati hai( 1 to 2 frame rate ho jata hai.)( during call screen hang)3. Battery issue - 6000mah ,my foot.4. Don't  believe  on youtubers( sab paisa kha ke Bana dete hai video)Reality se bahut door hai ye phone. 5nm processor  ka kya karu Mai.
",1.0 out of 5 stars,0
4,299,Amazon Customer,"
इस रेट के अन्य कंपनी के मोबाइलों से इसकी गुणवत्ता काफी कम है


फिंगरप्रिंट सेंसर अधिक गुणवत्ता युक्त नहीं है बैटरी लाइफ ठीक ठीक है कैमरे की क्वालिटी अच्छी है
",3.0 out of 5 stars,1
5,573,Mohammad Israeel,"
चार्जर नहीं है


बॉक्स में मोबाइल का चार्जर नहीं मिलेगा और दूसरे चार्जर से मोबाइल चार्ज करने पर मोबाइल गरम होता है बहुत ज्यादा।!????
",1.0 out of 5 stars,0
6,586,Raj kumar,"
Too bad product totally wastage of money


Bhai bhul kar bhu mat lena set mai  falt ha fir bhu amazon vale time kharab kar rahe ha soo please don't buy this product and not satisfactory service in amazon
",1.0 out of 5 stars,0
7,679,DURGESH,"
pahle Jo baat thi ab ni hai mere pas option hota to mai return kr detai hai ni to mai return kr deta


Battery sahi hai fingerprint bhi sahi hai , processor slow hai, network weak ata hai time leta hai bahut..camera bhi sahi ni hai low light me ya room me normal light me,esse Better oppo Vivo mi hai bs nam2 rah gya hai aur kuch ni hai
",1.0 out of 5 stars,0
8,927,Mohammad Aminuddin Ahmad ,"
Hang Hota Hai or bakwas mobile hai


1st month me ho mobile hang hone laga or app b sahi Nahi chalta support nahi karta bettry backup b sahi nahi hai
",1.0 out of 5 stars,0
9,946,Balmukund,"
Kuchh Nahin Hai is mobile mein


Is mobile mein Na to charger mila hai na to mobile ki khabar Mili hui hai na koi aur kaun hai
",5.0 out of 5 stars,1
