,Number,Name,Review,Stars,Sug/Com
0,0,Technical Choro,"
जीवन बदलने वाली किताब 👌


अगर आप अपने दिमाग की कार्य शैली को समझना चाहते है और अपनी सोच को सकारात्मक बनाना चाहते है तो मेरे खयाल से इस से बेहतर कोई किताब आपको नहीं मिलेगी और साथ ही आप जानेंगे की सिर्फ अपनी सोच के कारण ही आप ने अपनी जिंदगी में क्या खोया है और अपनी सोच को बदल कर आप क्या हासिल कर सकते है।कुछ कुछ जगह ऐसा लगता है कि इंग्लिश वाली किताब को गूगल ट्रांसलेट का उपयोग करके अनुवाद किया गया है इसलिए किताब को पढ़ने के लिए आपकी हिंदी अच्छी होनी चाहिए क्योंकि शुरुआती दो अध्याय में भाषा थोड़ी मुश्किल लग सकती है लेकिन अगर पूरा ध्यान दिया जाए तो समझ में आ जाती है।
",4.0 out of 5 stars,1
1,10,Nishant,"
Such a great book






                    The media could not be loaded.
                



 Is book ko padne k baad apko pata chalega ki app kis tarah se apne sub conscious mind ki power se har chij ko attract kar sakte he🥰
",5.0 out of 5 stars,1
2,12,Akshay kashyap,"
जिंदगी बदल देने वाली किताब


इस किताब को पढ़ने के बाद मनुष्य को मालूम होता है कि इस संसार में कोई भी काम असंभव नहीं है यदि कोई काम मुश्किल भी है तो इस किताब की सहायता से यानी अवचेतन मन की शक्ति से पता लगाया जा सकता है और वह किया भी जा सकता है कि वे जिस काम के बारे में हम सोच कर परेशान हो रहे थे कितनी आसानी से किया जा सकता है इसको पढ़ने के बाद हमारे सोचने का तरीका ही एकदम बदल जाता है इतनी शक्ति है इस किताब में सच में मैं बहुत ही धन्यवाद करता हूं जोसेफ मर्फी जी का जो उन्होंने इस किताब को लिखकर बहुत ही नेक काम किया है प्रत्येक आदमी को यह पुस्तक पढ़नी ही चाहिए
",5.0 out of 5 stars,1
3,14,avnish kumar mishra,"
Nav jeevan ki suruat


Aaj ise padh kar bahut sari santi mili aaj pata chala mere dukho ka karan mai swayam huJeevan me jo bhi upalabdhi huyi hai uska karan bhi mai swayam hu mere antarman ka pahchan karane ke liye thanx
",5.0 out of 5 stars,1
4,15,Abdul Rahman Ansari,"
अपने काम को अच्छी तरह से करने के लिए मोटिवेशन मिलती है !


डॉक्टर जोसेफ मर्फी द्वारा लिखी गई अवचेतन मन की शक्ति, को हिंदी में अनुवाद मंजुला डोभाल जी ने किया है, और इसे प्रकाशित फिंगरप्रिंट द्वारा किया गया हैयह बहुत अच्छी बुक है ! आपकी पॉजिटिव एनर्जी को यह रियल आइज कराती है ! चेतन मन और अवचेतन मन की विशेषताएं बताती है !  अपने काम को अच्छी तरह से करने के लिए मोटिवेशन मिलती है ! आप इस बुक को एक बार जरुर पढ़ें !
",5.0 out of 5 stars,1
5,22,Jay Barsagade,"
5 Star


Iss kitab se maine bohat kuch sikha hai, aur main yeaha bataiye gai tariko ko amal main bhe la raha huu. jo apne Zindagi behatar banane ke liyea praiyas kar raha hai usse yea kitab zaroor padne chaiyea. Isse unko bohat madat melege.
",5.0 out of 5 stars,1
6,26,Sunil,"
My opinion


Amazing book..यह किताब व्यक्ति का जीवन के प्रति सोचने का नजरिया बदल देगी।जीवन को नया आयाम देने में सक्षम है।इसमे बताए गए सिद्धान्तों से व्यक्ति का जीवन शांत सुखद और  स्फूर्तिवान बना रहेगा।मुझे बहुत प्रेरित किया इस बुक ने।मरफी साहब को सलाम..
",5.0 out of 5 stars,1
7,49,Jay ganatra,"
जरूर पढ़ें


मेने ये किताब पढ़ने के बाद विचार बदल गए, मन की शक्ति के बारे में जाना,ये किताब पढ़ने के बाद अपने जीवन मे बदलाव आया, धन्यवाद
",5.0 out of 5 stars,1
8,51,MUSHAHID PARWEZ,"
बहुत ही कट्टर हिंदी में लिखा है


बहुत ही ज्यादा कट्टर हिंदी में लिखा हुआ है, English वाला ज्यादा अच्छा है जल्दी समझने के लिए।प्रिंट अच्छा है किताब भी अच्छा है।
",3.0 out of 5 stars,1
9,54,Babuli Bhoi,"
Excellent book


Excellent book.... very nice Book.... Mera to jiwan dhanya ho gaya iss book ko padh k.....mere hruday ki geherai se pyaar vara dhanya baad🙏🙏🙏
",5.0 out of 5 stars,1
10,60,Amit Kumar Singh Yadav,"
Must purchased


Must printing h aur bahut hi majedaar book hai .ek baar padhege to bus padhte hi rhege aap ese .
",5.0 out of 5 stars,1
