,Number,Name,Review,Stars,Sug/Com
0,260,Amazon Customer,"
Bad Sound, Put few hundred more to get better one


Maine pehle Oppo Enco M31 use kiya hai, jo behtareen tha (I had used Oppo Enco M31 earlier which gave me excellent service)Ab iss Ptron Urban tangent ke baare me (Now about this Ptron Urban tangent)Pros: kuch accha nahi hai, bas chalta hai itna hi accha hai iss headphone me (None about the product except for the fact that it works)Cons: (a) Behad bekaar awaaz hai iski (Very bad sound output)(b) Call sunna bhi thoda mushkil hai (Attending calls is also difficult due to low voice of caller)(c) Pata hi nahi chalta ki charging complete hui hai ya nahi (Unable to identify whether it is fully charged or not)Conclusion: Thode paise or daalkar acche brand ka le lo
",2.0 out of 5 stars,0
1,289,Dinesh s.,"
It is a Great Product Just Go for It


It is a nice and value for money product.Mai ise almost 2 months se use kar rha hu aur mujhe ab tk koi problem nahi mili.Battery backup bahut jabardast hai mai daily 5-7 hour use krta hu phir bhi 5-6 din aaram se chal jata hAnd isme low latency ka feature bhi bahut badhiya hai just middle button ko 3 times press Krna hai aur gaming mode on ho jayegaCons:- cons me bas yahi laga ki left side wire thodi slim hai baaki sb best hai
",5.0 out of 5 stars,1
2,323,LuciFer,"
After 1year using this product my honest review


I'm using this product for 1 year , and i notice :-Pros :-1. Nice wireless product2. 6h battry back up (bs 3-6 mahine k liye ) Cons :-1. 50% battry khatam hone k baat iska iriteting sound continually bajjna chalu rehta h ""plss charge "" krke wth .2. Iske material quality utna v thik nai h mtlv thoda lose hote huye jyate h sara3. Inka koi software nhi h ye warrning ko band krne k liye .😡Conclusion:- achha h but tabhi lenna jab tumhe se sabse sasta mile nhi toh dura product dekhna ....
",5.0 out of 5 stars,1
3,367,Dildar husain,"
Don't waste your hard work earning 💰💰


Iska sound to kaan me chubhta hai aur bgmi khelte time right left sound ki aisi taisi ho jati hai fire ki awaz kidhar se aa rahi hai DHOONDTE RAH JAOGEMain refund Lena chahta tha apna paisa par inhone refund karne ka option hi nahi diya is item par..
",1.0 out of 5 stars,0
4,481,Raushan pathak,"
good battery backup


2 din phle liya tha. avi tk 8 hours music sun chuka hu lekin battery avi bhi chal rha , bina charge kiye.bass decent hai price ke hisab se badhiya hai bass, but vocal thoda down laga, music clarity thik thak hai but thoda behtar hona chahiye tha. noise cancellation best hai. overall good product price ke hisaab se. sare features acche se work krte hai. ye aapko disappointe nhi karega .budget ke hisab se best product hai.This is my honest review😊
",4.0 out of 5 stars,1
5,524,Bhavsagar Singh,"
Bad service center experience


Sound quality is good, build quality is avarage but service center experience is very bad, agr aapke product me problem aa gyi to aapko khud ko courier krna padega. Aapke paas koi call ya msg kuch nai aayega pickup krne k liye. So my suggestion is dont buy ptron products
",2.0 out of 5 stars,0
6,541,KD,"
waste of money


Totally Waste of Money..... don't buy this one It's connectivity is very weak and Its mic not so good.Hindi: ‍‍‍पैसा बरबाद है। सामग्री .यह ब्लूटूथ से अच्छा है कुछ और लेलो क्योकी इसमे से कॉलिंग वॉयस सही नहीं जाति है। इसमे पैसे बरबद मत कीजिये ये सामग्री लेने योग्य नहीं है।
",1.0 out of 5 stars,0
7,761,Ankit Gupta,"
Very Very Very good product


Sound quality is very Very goodBass quality is very Very niceHead phone se baat bahut hi Accha se hota hai itna achha baat to kisi head phone me nahi hota hai humne JBL boat Boult sabhi ka use kiya par ayesa kisi me sound quality nahi mila boat JBL se call par baat karne se aapke agal bagal jo aawaj ho raha hai wo jayada jata hai par ptron me ayesa nahi hai hume bahut hi achha laga ek baar aap bhi use kar ke dekhiye
",5.0 out of 5 stars,1
8,905,kulwinder singh,"
Do not buy this


Maine 1 month phele buy kiya tha. Aur is main signal breakage ki problem hai.  Aur is  pr ptron company ko call kiya aur email kiya. Pr company .ne is pr koi rply nhi kiya na koi action liya..main iski complaint National consumer main kru gya
",1.0 out of 5 stars,0
9,990,Deepak,"
Very bed product


Dear all mene ptron ka neckband liya tha lekin 10 days me right side ka lide kam nahi kar rahi ptron ke costumer care pe call kara sarvice bohot bekar hai mere se bol rahe hai ki aap coriar karvao hamare address pe or 15 se 20 din me replace hokar mile ga me to fus gaya lekin aap nahi lena
",1.0 out of 5 stars,0
