,Number,Name,Review,Stars,Sug/Com
0,135,Vaibhav Kesarwani,"
Waste of money


Mera pichhla review delete kar diya gya qki maine sahi review diya tha is particular product ka..pahle se used product bheja gya tha..buttons bhi kaam nhi kar rhe the...agar product used na hota to bhi quality bahut jyada achhi nhi thi local lag rha tha..ab to is comment me kuchh galat nhi hai na jo aapki amazon guidelines ko thes pahuche..or bhi product mangaye hain maine..sabme achha review diya qki wo product achhe the..jo achha nhi hai usme achha nhi bola..
",1.0 out of 5 stars,0
1,384,Vikas Kumar,"
Kuchh bhi acha nahi is company ka


Me request kar rha hu koi bhi ptron product na kharide mene ptron tangant lite bluetooth earphone kharida tha 1 mahine kharab ho gya fir mene service centre Hyderabad bheja (or bhai log iska service centre or kahi hai bhi nahi) ha to product bheja fir 1 month baad mera product vapas aya to lekin na hi product bana or jo product mene bhaja th vo aya nahi uske ghatiya product in logo ne bhaja fir mene complant ki company koi response nahi diya to bhai log koi bhi esi company se product na kharide
",1.0 out of 5 stars,0
2,587,jitesh kumar,"
अमेजॉन पे थोड़ी प्राइस जायदा होती है


मैंने pitron का 4 ब्लूटूथ मंगा चुका हु।सबके आवाज अच्छी है ।अमेजॉन की एक खास बात ये है की आप जो ऑर्डर करते है,वही समान आपको मिलती है,जो दूसरे शॉपिंग ऐप पे नही मिलता,मैने फ्लिपकार्ट से कुछ सामान ऑर्डर किए थे ,लेकिन गलत प्रोडक्ट भेज दिया।इसके बाद हमने फ्लिपकार्ट को छोड़ दिया,अमेजॉन पे ऐसा नहीं होता ।थैंक्स अमेजॉन ।
",5.0 out of 5 stars,1
3,601,Ravi meena,"
Worst


Mene esko 28 October ko buy kiya tha and ye only 1 month chla h ab na hi on hao rha h na kuchEski 1 year ki warenty dete h ye log but mujhe 3 din hao enko mail kiye huye but abi tk kuch ans nhi mila M apko sb ko suggestions detta hu es company ka product bekar hQ ki jao
",1.0 out of 5 stars,0
4,614,Ritesh Yadav,"
Petron Bluetooth


बहुत ही अच्छा और टिकाऊ बैटरी बैकअप इसकी बहुत अच्छी है यह बातें आपको कम दाम में सबसे अच्छी श्रेणी का ब्लूटूथ प्रदान कर रहा है इसकी खास बात यह है कि इसकी साउंड क्वालिटी और बैटरी बैकअप बहुत ही अच्छा है और इसके डिजाइन इसमें इस्तेमाल किए गए मटेरियल का भी अच्छी तरह से बनाया गया है मैं इसे बहुत संतुष्ट हूं और यह बहुत संतोषजनक खरीदारी थी मेरे लिए मेरा अनुभव इस सामग्री के लिए बहुत ही खुशनुमा है
",5.0 out of 5 stars,1
5,688,Komal,"
Proton neck band


Not work properly so i have replace nd other one is also same problem... Nd delivery  boy is telling me k ap baar baar kyu change kr rhe ho... Jb chijz thik hogi tbi to lege... Or delivery boy kon hota hai hum se question krne wala jb company mai humne likhe k diya hai to... Amazon online is good but delivery boy is to oversmrt...
",1.0 out of 5 stars,0
6,701,hasnain,"
Sar dard hai ye.


Bhai sahabAap ki awaz na akar market ya road ki puri awaz aap sun sakte hai.Bahut buri quality hai.Jis se aap bat karenge. Sar dard kara denge uska.tez bolna padega moti bhaddi awaz jayegi aap kiDusmani ho to call kar lo.600 Rupee's me koi option dekho
",1.0 out of 5 stars,0
7,731,Amiya kumar Bhoi,"
Thik thak...


In this range. Product was good.. but aur thoda acha ho sakta tha.. sound quality thik thak he.. calling v sahise hojati he.. 1 chiz iska mujhe kharab laga ke charging ke time iska switch wala side case khuljata he...so carefully... otherwise as per product was good
",3.0 out of 5 stars,1
8,734,Khulesh Sahu,"
customer care number






                    The media could not be loaded.
                



 पैकेट खोल कर देखा तो गया टूटा हुआ पाया गया है बुक किया था 23 अप्रैल को प्राप्त होना था 27 अप्रैल तक मगर मुझे मिला 1 मई को और उसमें रिटर्नर का ऑप्शन 30 अप्रैल तक था यह तो ग्राहक के साथ धोखा हो गया और ना कस्टमर केयर का नंबर है ना हम किसी से हेल्प ले सकते हैं।
",1.0 out of 5 stars,0
9,739,Md Amir,"
Technical folt left said voice stop






                    The media could not be loaded.
                



 Order Date 08/10/21,  8 month ke Aspas hui hai  aur Aaj se ek spikar ka awaj bilkul hi khtam ho gaya waise to abhi tak sahi chal raha tha iske ilaya aur koi problem nhi
",2.0 out of 5 stars,0
10,984,GANESH LUNA,"
उसमें स्पीकर में प्रॉब्लम है आवाज सही नहीं आ रही है


सर इसमें आवाज की प्रॉब्लम है वॉइस सही नहीं आ रही है बीच में रुक रुक कर आ रही हैं और बीच में आवाज एक्स्ट्रा आवाज कर रहा है अभी भी bekar आइटम भेजा है इसमें ज्यादा प्रॉब्लम आ रही
",1.0 out of 5 stars,0
